City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ruthin,GB,2022-01-27 23:47:23,53.1137,-3.3178,44.73,97,69,4.56
68,Hilo,US,2022-01-27 23:47:23,19.7297,-155.09,80.33,64,0,12.66
69,Lokosovo,RU,2022-01-27 23:47:23,61.1333,74.8167,9.25,94,99,8.99
70,Tuatapere,NZ,2022-01-27 23:45:47,-46.1333,167.6833,63.82,41,78,4.72
71,Embu-Guacu,BR,2022-01-27 23:47:24,-23.8534,-46.8396,76.96,94,86,3.33
72,Sweetwater,US,2022-01-27 23:47:24,25.7634,-80.3731,75.22,89,90,9.22
73,Victoria,HK,2022-01-27 23:47:17,22.2855,114.1577,67.17,90,80,5.01
74,Bogalusa,US,2022-01-27 23:47:25,30.791,-89.8487,56.95,50,0,0.0
75,Grand Gaube,MU,2022-01-27 23:47:25,-20.0064,57.6608,75.6,74,3,5.01
76,Kudahuvadhoo,MV,2022-01-27 23:47:26,2.6708,72.8944,80.26,53,100,5.08
77,Vaini,TO,2022-01-27 23:47:26,-21.2,-175.2,82.8,77,73,15.52
78,Akcakoca,TR,2022-01-27 23:47:26,41.0866,31.1162,26.96,87,61,6.04
79,Roald,NO,2022-01-27 23:47:27,62.5833,6.1333,39.0,56,100,8.05
80,Carnarvon,AU,2022-01-27 23:47:20,-24.8667,113.6333,75.27,83,1,3.44
81,Vila Franca Do Campo,PT,2022-01-27 23:47:27,37.7167,-25.4333,57.2,73,100,10.45
82,Mataura,NZ,2022-01-27 23:46:02,-46.1927,168.8643,63.48,30,53,1.39
83,Panama City,PA,2022-01-27 23:44:13,8.9936,-79.5197,82.35,65,20,12.66
84,Bengkulu,ID,2022-01-27 23:47:28,-3.8004,102.2655,76.55,86,99,3.31
85,Yerbogachen,RU,2022-01-27 23:47:28,61.2767,108.0108,-27.08,100,85,3.36
86,Ancud,CL,2022-01-27 23:47:28,-41.8697,-73.8203,76.53,79,0,4.85
87,Hobart,AU,2022-01-27 23:44:01,-42.8794,147.3294,89.02,53,40,9.22
88,Saint Anthony,US,2022-01-27 23:45:34,45.0205,-93.218,19.29,48,1,12.66
89,Karratha,AU,2022-01-27 23:47:29,-20.7377,116.8463,80.6,63,10,13.09
90,Bethel,US,2022-01-27 23:47:29,41.3712,-73.414,29.64,69,0,3.44
91,Faanui,PF,2022-01-27 23:47:30,-16.4833,-151.75,80.85,76,19,15.48
92,Royan,FR,2022-01-27 23:47:30,45.6285,-1.0281,37.38,88,0,7.94
93,Jaciara,BR,2022-01-27 23:48:31,-15.9653,-54.9683,71.76,94,100,3.83
94,Risor,NO,2022-01-27 23:48:31,58.7206,9.2342,42.17,50,77,18.86
95,Esperance,AU,2022-01-27 23:48:31,-33.8667,121.9,66.04,64,46,11.48
96,Coari,BR,2022-01-27 23:48:32,-4.085,-63.1414,75.56,96,82,2.42
97,Iqaluit,CA,2022-01-27 23:48:32,63.7506,-68.5145,-9.31,76,100,2.3
98,Mahebourg,MU,2022-01-27 23:48:32,-20.4081,57.7,75.49,83,40,3.44
99,Lebu,CL,2022-01-27 23:48:33,-37.6167,-73.65,61.38,91,8,4.36
100,Qaanaaq,GL,2022-01-27 23:48:33,77.484,-69.3632,-9.76,71,39,7.56
101,Upernavik,GL,2022-01-27 23:48:34,72.7868,-56.1549,0.81,95,67,25.21
102,Bluff,NZ,2022-01-27 23:48:34,-46.6,168.3333,63.81,58,74,6.31
103,Makakilo City,US,2022-01-27 23:44:47,21.3469,-158.0858,80.92,51,0,9.22
104,Ewa Beach,US,2022-01-27 23:48:35,21.3156,-158.0072,82.35,50,0,8.99
105,Beringovskiy,RU,2022-01-27 23:48:35,63.05,179.3167,5.74,95,100,3.53
106,Kodiak,US,2022-01-27 23:48:35,57.79,-152.4072,36.91,87,100,12.66
107,Ribeira Grande,PT,2022-01-27 23:48:36,38.5167,-28.7,59.4,72,20,12.66
108,Nyrob,RU,2022-01-27 23:48:36,60.733,56.7202,4.86,97,100,4.7
109,Kosa,RU,2022-01-27 23:48:36,59.9445,54.9977,3.83,97,95,4.99
110,Cap Malheureux,MU,2022-01-27 23:48:37,-19.9842,57.6142,75.69,74,29,5.01
111,Cherskiy,RU,2022-01-27 23:48:37,68.75,161.3,-36.33,96,54,1.92
112,Tongliao,CN,2022-01-27 23:48:37,43.6125,122.2653,2.34,83,1,9.28
113,Bud,US,2022-01-27 23:48:38,39.447,-86.1758,33.24,82,100,6.85
114,Barrow,US,2022-01-27 23:48:38,71.2906,-156.7887,-14.78,76,0,10.36
