City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
58,Busselton,AU,2022-01-29 21:08:36,-33.65,115.3333,67.05,91,5,14.34,clear sky
59,Georgetown,MY,2022-01-29 21:09:38,5.4112,100.3354,81.9,84,20,0.0,few clouds
60,Mount Isa,AU,2022-01-29 21:09:47,-20.7333,139.5,74.97,100,75,6.91,broken clouds
61,Narsaq,GL,2022-01-29 21:10:48,60.9167,-46.05,14.22,96,100,2.48,light snow
62,Horqueta,PY,2022-01-29 21:10:48,-23.3428,-57.0597,94.96,26,1,8.01,clear sky
63,Khatanga,RU,2022-01-29 21:10:48,71.9667,102.5,-4.34,99,100,5.53,overcast clouds
64,San Patricio,US,2022-01-29 21:10:49,28.017,-97.5169,67.01,25,54,5.39,broken clouds
65,Tawang,IN,2022-01-29 21:10:49,27.5833,91.8667,22.89,72,32,6.11,scattered clouds
66,Tulnici,RO,2022-01-29 21:10:49,45.9167,26.6667,27.77,76,48,9.04,scattered clouds
67,Carnarvon,AU,2022-01-29 21:10:50,-24.8667,113.6333,77.07,88,84,10.36,broken clouds
68,Mar Del Plata,AR,2022-01-29 21:10:50,-38.0023,-57.5575,84.22,90,0,18.01,clear sky
69,Ushuaia,AR,2022-01-29 21:10:50,-54.8,-68.3,51.94,89,100,3.13,light rain
70,Portland,US,2022-01-29 21:09:10,45.5234,-122.6762,52.56,54,20,1.99,few clouds
71,Chapais,CA,2022-01-29 21:10:51,49.7834,-74.8492,-0.33,88,6,2.3,clear sky
72,Komsomolskiy,UZ,2022-01-29 21:10:51,40.4272,71.7189,36.32,87,75,0.0,fog
73,Muscat,OM,2022-01-29 21:10:51,23.6139,58.5922,68.02,63,1,4.0,clear sky
74,Saskylakh,RU,2022-01-29 21:10:52,71.9167,114.0833,-21.84,100,99,3.44,overcast clouds
75,Byron Bay,AU,2022-01-29 21:10:52,-28.65,153.6167,73.87,81,61,8.77,broken clouds
76,Jacareacanga,BR,2022-01-29 21:10:52,-6.2222,-57.7528,73.54,97,100,2.28,overcast clouds
77,New Norfolk,AU,2022-01-29 21:10:53,-42.7826,147.0587,61.66,61,23,1.01,few clouds
78,Hambantota,LK,2022-01-29 21:10:53,6.1241,81.1185,77.95,82,73,6.8,broken clouds
79,Port Blair,IN,2022-01-29 21:10:53,11.6667,92.75,75.92,79,66,8.75,broken clouds
80,Vaini,TO,2022-01-29 21:08:06,-21.2,-175.2,81.46,78,100,16.84,overcast clouds
